Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
2576,Male,25-34 Years,Other Ethnicity,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2577,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$50,001 or More",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2578,Female,35-44 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2579,Male,55-64 Years,European,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2580,Female,55-64 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2581,Male,55-64 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB11
2582,Male,45-54 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",1-19 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB11
2583,Female,35-44 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2584,Female,35-44 Years,European,School Qualification,Employed Part-time,"$ 5,000 or Less",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB11
2585,Male,35-44 Years,European,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2586,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2587,Female,15-24 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",20-29 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2588,Female,15-24 Years,European,Trade or Vocational,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Walked or Jogged,Never Smoked Regularly,No,No,MB11
2589,Male,35-44 Years,European,Trade or Vocational,Employed Part-time,"$ 5,001 - $10,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2590,Male,45-54 Years,European,Trade or Vocational,Employed Part-time,"$ 5,001 - $10,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2591,Female,45-54 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB12
2592,Female,55-64 Years,European,Trade or Vocational,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB12
2593,Female,35-44 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB12
2594,Male,35-44 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB12
2595,Female,35-44 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",20-29 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB12
2596,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB12
2597,Female,15-24 Years,European,School Qualification,Employed Part-time,"$ 5,000 or Less",30-39 Hours,Walked or Jogged,Never Smoked Regularly,No,Yes,MB12
2598,Female,45-54 Years,European,University Degree or Higher,Employed Part-time,"$20,001 - $30,000",30-39 Hours,Public Transport,Ex-Smoker,No,Yes,MB12
2599,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2600,Female,55-64 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2601,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2602,Male,35-44 Years,Pacific Peoples,University Degree or Higher,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB12
2603,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2604,Male,25-34 Years,Other Ethnicity,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2605,Male,25-34 Years,Other Ethnicity,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2606,Female,55-64 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2607,Female,45-54 Years,European,University Degree or Higher,Not Employed,"$50,001 or More",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2608,Female,45-54 Years,European,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2609,Male,25-34 Years,Maori,University Degree or Higher,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2610,Male,25-34 Years,Other Ethnicity,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2611,Female,35-44 Years,Maori,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB12
2612,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2613,Male,25-34 Years,Other Ethnicity,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2614,Male,35-44 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB12
2615,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB12
2616,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2617,Female,65 Years and Over,European,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2618,Female,65 Years and Over,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2619,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2620,Female,55-64 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2621,Male,55-64 Years,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2622,Male,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2623,Female,55-64 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2624,Male,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2625,Female,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2626,Female,15-24 Years,Pacific Peoples,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2627,Male,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2628,Male,35-44 Years,European,Trade or Vocational,Not Employed,"$50,001 or More",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2629,Male,35-44 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2630,Male,15-24 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2631,Male,55-64 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2632,Male,25-34 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2633,Female,35-44 Years,European,University Degree or Higher,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2634,Male,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2635,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB12
2636,Male,15-24 Years,Asian,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2637,Male,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2638,Female,35-44 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2639,Female,45-54 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2640,Female,55-64 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Ex-Smoker,No,No,MB12
2641,Female,45-54 Years,Maori,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2642,Female,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2643,Female,35-44 Years,European,University Degree or Higher,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2644,Female,35-44 Years,Pacific Peoples,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB12
2645,Female,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2646,Male,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB12
2647,Female,15-24 Years,Pacific Peoples,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2648,Female,65 Years and Over,Asian,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB12
2649,Female,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB12
2650,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2651,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2652,Male,35-44 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2653,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2654,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB12
2655,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2656,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2657,Male,35-44 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2658,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2659,Female,35-44 Years,Asian,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2660,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2661,Male,55-64 Years,Asian,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2662,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2663,Female,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2664,Male,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2665,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2666,Male,15-24 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2667,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2668,Male,15-24 Years,Pacific Peoples,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2669,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2670,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2671,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2672,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2673,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2674,Female,25-34 Years,Asian,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2675,Female,25-34 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2676,Female,55-64 Years,Asian,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2677,Female,35-44 Years,Maori,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2678,Female,35-44 Years,Maori,School Qualification,Not Employed,"$50,001 or More",Not Employed,Not Employed,Regular Smoker,No,No,MB12
2679,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2680,Male,45-54 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2681,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2682,Male,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2683,Female,65 Years and Over,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB12
2684,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2685,Male,25-34 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB12
2686,Female,35-44 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2687,Female,65 Years and Over,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2688,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2689,Female,35-44 Years,Asian,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2690,Male,35-44 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2691,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB12
2692,Female,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB12
2693,Female,15-24 Years,European,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2694,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB12
2695,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2696,Male,15-24 Years,Pacific Peoples,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB12
2697,Female,65 Years and Over,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
2698,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,No,MB12
2699,Female,25-34 Years,Asian,University Degree or Higher,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2700,Male,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB12
2701,Female,15-24 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB12
